,Symbol,Name,Price,Change %,Volume,Rel Volume,Market cap,P/E,EPS dil,EPS dil growth,Div yield %,Sector,Analyst Rating
4208,TETE,Technology & Telecommunication Acquisition Corporation,11.49 USD,−0.52%,295,0.37,67.236M USD,84.80,0.14 USD,+1078.26%,0.00%,Finance,—
4209,TFC,Truist Financial Corporation,37.60 USD,+1.70%,9.362M,1.09,50.146B USD,9.45,3.98 USD,—,5.53%,Finance,Buy
4210,TFFP,"TFF Pharmaceuticals, Inc.",5.98 USD,−0.66%,9.904K,0.27,14.145M USD,—,−15.76 USD,+53.55%,0.00%,Health Technology,Strong buy
4211,TFIN,"Triumph Financial, Inc.",74.54 USD,−1.19%,89.091K,0.66,1.736B USD,39.12,1.91 USD,—,0.00%,Finance,Neutral
4212,TFSL,TFS Financial Corporation,14.27 USD,+0.92%,356.009K,1.34,4.001B USD,53.95,0.26 USD,—,7.92%,Finance,Neutral
4213,TFX,Teleflex Incorporated,239.46 USD,−0.66%,227.392K,1.15,11.253B USD,28.04,8.54 USD,−2.00%,0.57%,Health Technology,Buy
4214,TG,Tredegar Corporation,5.08 USD,0.00%,289.084K,1.78,174.796M USD,—,−2.17 USD,−236.30%,10.24%,Non-Energy Minerals,—
4215,TGAA,Target Global Acquisition I Corp.,11.10 USD,−0.09%,3.126K,0.33,109.485M USD,47.19,0.24 USD,+15573.33%,0.00%,Finance,—
4216,TGAN,"Transphorm, Inc.",3.72 USD,−4.37%,57.192K,0.82,230.651M USD,—,−0.68 USD,−76.40%,0.00%,Electronic Technology,Strong buy
4217,TGH,Textainer Group Holdings Limited,49.40 USD,+0.08%,505.33K,1.02,2.018B USD,10.14,4.87 USD,−21.32%,2.43%,Finance,Buy
4218,TGI,"Triumph Group, Inc.",15.66 USD,+1.62%,744.786K,0.59,1.204B USD,—,−0.40 USD,−128.16%,0.00%,Electronic Technology,Buy
4219,TGL,Treasure Global Inc.,0.0958 USD,−1.74%,380.112K,0.45,1.985M USD,—,−0.58 USD,+36.51%,0.00%,Commercial Services,—
4220,TGLS,Tecnoglass Inc.,43.60 USD,+2.54%,233.031K,0.80,2.079B USD,10.31,4.23 USD,+67.37%,0.83%,Producer Manufacturing,Strong buy
4221,TGNA,TEGNA Inc,15.36 USD,0.00%,1.245M,0.79,3.025B USD,5.43,2.83 USD,+17.11%,2.72%,Consumer Services,Buy
4222,TGT,Target Corporation,140.75 USD,+0.36%,2.745M,0.84,64.979B USD,17.93,7.85 USD,+7.48%,3.10%,Retail Trade,Buy
4223,TGTX,"TG Therapeutics, Inc.",19.65 USD,+9.05%,8.547M,1.71,2.975B USD,—,−0.27 USD,+84.77%,0.00%,Health Technology,Buy
4224,TGVC,TG Venture Acquisition Corp.,10.95 USD,+1.01%,12.402K,0.61,41.778M USD,—,−0.32 USD,−278.15%,0.00%,Finance,—
4225,TH,Target Hospitality Corp.,9.48 USD,−1.46%,486.586K,0.78,963.75M USD,5.93,1.60 USD,+243.72%,0.00%,Consumer Services,Strong buy
4226,T,THAR,0.4880 USD,−2.42%,494.879K,0.35,8.546M USD,—,−16.21 USD,−66.97%,0.00%,Health Technology,Neutral
4227,THC,Tenet Healthcare Corporation,75.91 USD,+2.35%,1.25M,2.06,7.709B USD,17.06,4.45 USD,−12.39%,0.00%,Health Services,Strong buy
4228,THCH,TH International Limited,1.74 USD,+9.43%,305.188K,3.57,274.097M USD,—,−0.76 USD,−395.42%,0.00%,Consumer Services,—
4229,THCP,"Thunder Bridge Capital Partners IV, Inc.",10.21 USD,−0.10%,2K,0.04,102.9M USD,73.14,0.14 USD,−4.58%,0.00%,Finance,—
4230,THFF,First Financial Corporation Indiana,41.94 USD,−0.02%,50.036K,1.50,492.985M USD,7.77,5.40 USD,—,2.36%,Finance,Neutral
4231,THG,Hanover Insurance Group Inc,124.20 USD,+0.75%,291.488K,2.50,4.442B USD,—,−2.36 USD,−129.31%,2.64%,Finance,Buy
4232,THMO,"ThermoGenesis Holdings, Inc.",0.5321 USD,+0.24%,50.316K,0.88,1.669M USD,—,−9.73 USD,+68.26%,0.00%,Health Technology,Strong buy
4233,THO,"Thor Industries, Inc.",110.29 USD,+0.53%,406.186K,1.01,5.881B USD,20.36,5.42 USD,−71.17%,1.69%,Consumer Durables,Neutral
4234,THR,"Thermon Group Holdings, Inc.",30.31 USD,−1.81%,234.308K,1.58,1.021B USD,24.64,1.23 USD,+10.49%,0.00%,Producer Manufacturing,Strong buy
4235,THRD,"Third Harmonic Bio, Inc.",10.89 USD,−1.98%,35.491K,0.23,439.548M USD,—,−1.07 USD,—,0.00%,Health Technology,Buy
4236,THRM,Gentherm Inc,49.14 USD,−1.62%,112.447K,0.54,1.612B USD,90.65,0.54 USD,−62.72%,0.00%,Producer Manufacturing,Buy
4237,THRX,"Theseus Pharmaceuticals, Inc.",3.97 USD,−0.50%,345.255K,0.53,175.594M USD,—,−1.35 USD,−13.68%,0.00%,Health Technology,Neutral
4238,THRY,"Thryv Holdings, Inc.",18.23 USD,−5.35%,184.233K,1.27,641.058M USD,—,−1.56 USD,−152.22%,0.00%,Commercial Services,Strong buy
4239,THS,"Treehouse Foods, Inc.",40.78 USD,−0.42%,472.222K,1.02,2.255B USD,29.33,1.39 USD,—,0.00%,Consumer Non-Durables,Buy
4240,TIGO,Millicom International Cellular S.A.,18.94 USD,+4.64%,207.828K,3.39,3.173B USD,85.51,0.22 USD,−95.66%,0.00%,Communications,Buy
4241,T,TIL,7.71 USD,+0.39%,28.986K,0.61,50.145M USD,—,−30.30 USD,+12.80%,0.00%,Health Technology,Buy
4242,TILE,"Interface, Inc.",12.11 USD,+0.92%,436.32K,1.78,703.675M USD,—,0.00 USD,−100.00%,0.33%,Producer Manufacturing,Buy
4243,TIPT,Tiptree Inc.,18.54 USD,−1.28%,122.343K,1.88,681.341M USD,94.45,0.20 USD,—,1.08%,Finance,—
4244,TIRX,TIAN RUIXIANG Holdings Ltd,0.6300 USD,0.00%,16.782K,0.07,2.063M USD,—,−4.77 USD,−193.46%,0.00%,Finance,—
4245,TISI,"Team, Inc.",6.56 USD,+0.15%,4.237K,0.27,28.657M USD,0.30,21.86 USD,—,0.00%,Commercial Services,—
4246,TITN,Titan Machinery Inc.,27.92 USD,+1.05%,205.638K,1.55,637.955M USD,5.98,4.67 USD,−0.07%,0.00%,Distribution Services,Strong buy
4247,TIVC,"Tivic Health Systems, Inc.",1.77 USD,+0.57%,8.338K,0.09,2.595M USD,—,−42.45 USD,+64.47%,0.00%,Health Technology,—
4248,TJX,"TJX Companies, Inc. (The)",91.71 USD,−1.15%,4.534M,1.01,104.52B USD,25.97,3.53 USD,+23.14%,1.41%,Retail Trade,Buy
4249,TK,Teekay Corporation,7.92 USD,+4.07%,1.118M,1.60,720.319M USD,5.09,1.55 USD,+652.06%,0.00%,Transportation,—
4250,TKNO,"Alpha Teknova, Inc.",3.58 USD,−5.79%,20.322K,0.55,145.805M USD,—,−1.38 USD,−2.20%,0.00%,Health Technology,Strong buy
4251,T,TKO,78.63 USD,−0.30%,1.07M,1.20,6.453B USD,61.20,1.28 USD,−49.93%,0.61%,Consumer Services,Strong buy
4252,TKR,Timken Company (The),78.64 USD,+0.67%,538.221K,1.36,5.548B USD,13.23,5.94 USD,+19.37%,1.65%,Producer Manufacturing,Buy
4253,TLF,"Tandy Leather Factory, Inc.",4.89 USD,+1.24%,7.533K,1.27,41.072M USD,17.94,0.27 USD,+169.63%,0.00%,Retail Trade,—
4254,TLGY,TLGY Acquisition Corporation,11.08 USD,0.00%,37.653K,2.24,144.795M USD,35.79,0.31 USD,−18.10%,0.00%,Finance,—
4255,TLIS,Talis Biomedical Corporation,8.18 USD,+0.51%,9.286K,1.00,259.161M USD,—,−27.87 USD,+50.44%,0.00%,Health Technology,—
4256,TLRY,"Tilray Brands, Inc.",2.28 USD,−0.44%,21.577M,0.67,1.687B USD,—,−2.33 USD,−148.63%,0.00%,Process Industries,Neutral
4257,TLS,Telos Corporation,4.22 USD,+7.93%,463.747K,0.95,293.81M USD,—,−0.68 USD,−17.79%,0.00%,Technology Services,Buy
4258,TLSA,Tiziana Life Sciences Ltd,0.6100 USD,+1.84%,255.854K,5.56,62.386M USD,—,—,—,0.00%,Health Technology,Strong buy
4259,TLSI,"TriSalus Life Sciences, Inc.",8.79 USD,+5.52%,23.507K,0.38,232.172M USD,—,−0.20 USD,−162.19%,0.00%,Health Technology,Strong buy
4260,TLYS,"Tilly's, Inc.",7.32 USD,+0.14%,188.6K,1.78,219.407M USD,—,−0.46 USD,−164.60%,0.00%,Retail Trade,Neutral
4261,TMC,TMC the metals company Inc.,1.31 USD,0.00%,2.646M,1.80,401.341M USD,—,−0.50 USD,−42.89%,0.00%,Non-Energy Minerals,Buy
4262,TMCI,"Treace Medical Concepts, Inc.",11.89 USD,+2.68%,642.609K,1.25,733.326M USD,—,−0.79 USD,+3.00%,0.00%,Health Technology,Strong buy
4263,TMDX,"TransMedics Group, Inc.",73.89 USD,−1.58%,538.936K,1.37,2.412B USD,—,−1.10 USD,+26.12%,0.00%,Health Technology,Strong buy
4264,TMHC,Taylor Morrison Home Corporation,50.66 USD,−0.10%,722.604K,1.16,5.443B USD,6.41,7.91 USD,−10.15%,0.00%,Consumer Durables,Buy
4265,TMO,Thermo Fisher Scientific Inc,531.23 USD,−1.14%,1.817M,1.41,205.253B USD,34.81,15.26 USD,−14.18%,0.26%,Health Technology,Buy
4266,TMP,Tompkins Financial Corporation,55.85 USD,−0.09%,66.071K,0.92,801.457M USD,59.41,0.94 USD,—,4.30%,Finance,Neutral
4267,TMST,TimkenSteel Corporation,22.04 USD,−0.85%,191.502K,0.83,951.132M USD,32.49,0.68 USD,−76.01%,0.00%,Non-Energy Minerals,Neutral
4268,TMTC,TMT Acquisition Corp,10.56 USD,−0.38%,5.537K,1.11,108.557M USD,81.36,0.13 USD,—,0.00%,Finance,—
4269,TMUS,"T-Mobile US, Inc.",163.37 USD,+0.66%,4.553M,1.23,188.933B USD,25.33,6.45 USD,+427.99%,0.40%,Communications,Strong buy
4270,TNC,Tennant Company,86.89 USD,−0.97%,80.414K,0.89,1.623B USD,15.91,5.46 USD,+102.92%,1.24%,Producer Manufacturing,Strong buy
4271,TNDM,"Tandem Diabetes Care, Inc.",27.80 USD,+0.51%,895.884K,0.70,1.813B USD,—,−3.22 USD,−203.03%,0.00%,Health Technology,Buy
4272,TNET,"TriNet Group, Inc.",114.70 USD,−1.87%,224.779K,1.41,5.793B USD,19.24,5.96 USD,+2.55%,0.00%,Commercial Services,Buy
4273,TNGX,"Tango Therapeutics, Inc.",9.18 USD,−1.50%,470.194K,0.93,936.265M USD,—,−1.11 USD,+3.57%,0.00%,Health Technology,Strong buy
4274,TNK,Teekay Tankers Ltd.,56.20 USD,+3.86%,473.607K,1.02,1.914B USD,3.54,15.88 USD,+1195.42%,1.33%,Transportation,Strong buy
4275,TNL,Travel Leisure Co.,39.98 USD,+1.96%,631.966K,1.32,2.895B USD,8.70,4.60 USD,+4.16%,4.50%,Consumer Services,Buy
4276,TNON,"Tenon Medical, Inc.",1.60 USD,+8.84%,9.785K,0.14,3.954M USD,—,−29.25 USD,−109.53%,0.00%,Health Services,Strong buy
4277,TNP,Tsakos Energy Navigation Ltd,24.06 USD,+2.91%,272.973K,0.87,726.222M USD,2.12,11.34 USD,—,2.49%,Transportation,Strong buy
4278,TNXP,Tonix Pharmaceuticals Holding Corp.,0.3714 USD,−2.06%,1.156M,0.30,21.769M USD,—,−11.23 USD,+68.08%,0.00%,Health Technology,Strong buy
4279,TNYA,"Tenaya Therapeutics, Inc.",2.97 USD,−4.50%,310.007K,0.76,202.29M USD,—,−1.89 USD,+32.93%,0.00%,Health Technology,Strong buy
4280,TOI,"The Oncology Institute, Inc.",1.99 USD,−8.29%,237.009K,0.83,146.76M USD,—,−0.86 USD,−578.36%,0.00%,Health Services,Strong buy
4281,TOL,"Toll Brothers, Inc.",99.79 USD,+1.05%,1.171M,1.07,10.389B USD,8.05,12.40 USD,+12.03%,0.83%,Consumer Durables,Buy
4282,TOMZ,"TOMI Environmental Solutions, Inc.",0.9511 USD,−4.89%,4.542K,0.15,18.95M USD,—,−0.15 USD,+25.23%,0.00%,Producer Manufacturing,Strong buy
4283,TOON,"Kartoon Studios, Inc.",1.34 USD,−2.19%,67.562K,0.34,47.191M USD,—,−2.20 USD,−8.42%,0.00%,Consumer Services,—
4284,TOP,TOP Financial Group Limited,3.57 USD,−2.46%,77.355K,0.54,107.142M USD,—,—,—,0.00%,Finance,—
4285,T,TOPS,15.12 USD,−3.69%,35.492K,0.92,69.949M USD,2.79,5.41 USD,—,0.00%,Transportation,Strong buy
4286,TORO,Toro Corp.,5.90 USD,+0.17%,95.264K,1.43,113.286M USD,—,—,—,0.00%,Transportation,—
4287,TOST,"Toast, Inc.",17.74 USD,+1.26%,5.847M,0.78,9.583B USD,—,−0.59 USD,−73.99%,0.00%,Technology Services,Buy
4288,TOVX,"Theriva Biologics, Inc.",0.4496 USD,+0.65%,31.249K,0.24,7.662M USD,—,−1.18 USD,+12.50%,0.00%,Health Technology,Strong buy
4289,TOWN,Towne Bank,29.33 USD,−0.27%,242.141K,1.21,2.133B USD,12.67,2.32 USD,—,3.34%,Finance,Buy
4290,TPB,"Turning Point Brands, Inc.",25.71 USD,+1.14%,122.312K,0.66,452.612M USD,43.84,0.59 USD,−70.97%,1.01%,Consumer Non-Durables,Strong buy
4291,TPC,Tutor Perini Corporation,8.90 USD,+1.48%,400.282K,2.35,462.997M USD,—,−4.19 USD,−144.82%,0.00%,Industrial Services,Buy
4292,TPCS,TechPrecision Corporation,5.23 USD,−1.73%,6.537K,0.65,45.811M USD,—,−0.22 USD,−17.58%,0.00%,Producer Manufacturing,—
4293,TPET,Trio Petroleum Corp.,0.3099 USD,+3.35%,332.095K,0.63,9.18M USD,—,−0.23 USD,—,0.00%,Energy Minerals,—
4294,TPG,TPG Inc.,39.69 USD,−0.23%,642.577K,1.16,12.274B USD,—,−0.11 USD,−102.55%,3.53%,Finance,Buy
4295,TPH,"Tri Pointe Homes, Inc.",34.20 USD,−0.12%,753.806K,1.17,3.319B USD,8.38,4.08 USD,−16.98%,0.00%,Consumer Durables,Buy
4296,TPHS,Trinity Place Holdings Inc.,0.1800 USD,+5.88%,1.073M,0.16,6.876M USD,—,−1.00 USD,−74.21%,0.00%,Finance,—
4297,TPIC,"TPI Composites, Inc.",3.51 USD,−1.68%,2.459M,1.18,149.425M USD,—,−5.87 USD,−47.85%,0.00%,Producer Manufacturing,Buy
4298,TPL,Texas Pacific Land Corporation,1555.25 USD,+0.31%,18.463K,0.93,11.936B USD,30.50,50.99 USD,−7.36%,0.84%,Miscellaneous,Neutral
4299,TPR,"Tapestry, Inc.",37.33 USD,+1.17%,3.55M,0.94,8.556B USD,9.51,3.93 USD,+24.67%,3.48%,Retail Trade,Buy
4300,TPST,"Tempest Therapeutics, Inc.",4.21 USD,+3.69%,701.657K,0.52,81.032M USD,—,−2.44 USD,+35.13%,0.00%,Health Technology,Strong buy
4301,TPVG,TriplePoint Venture Growth BDC Corp.,11.28 USD,+0.80%,211.444K,0.59,407.049M USD,—,−0.65 USD,−459.30%,14.18%,Finance,Neutral
4302,TPX,"Tempur Sealy International, Inc.",48.66 USD,+1.54%,1.37M,1.04,8.383B USD,21.94,2.22 USD,−21.63%,0.90%,Consumer Durables,Buy
4303,TR,"Tootsie Roll Industries, Inc.",33.87 USD,+0.09%,73.124K,0.79,4.379B USD,26.98,1.26 USD,+24.85%,1.06%,Consumer Non-Durables,—
4304,TRAK,"ReposiTrak, Inc.",10.74 USD,+1.32%,40.049K,0.78,195.019M USD,39.27,0.27 USD,+38.48%,0.57%,Technology Services,—
4305,TRC,Tejon Ranch Co,16.57 USD,−0.66%,54.99K,1.01,442.986M USD,120.07,0.14 USD,−78.71%,0.00%,Finance,—
4306,TRDA,"Entrada Therapeutics, Inc.",15.25 USD,+8.46%,124.31K,1.46,508.863M USD,—,−0.75 USD,+73.35%,0.00%,Health Technology,Strong buy
4307,TREE,"LendingTree, Inc.",28.55 USD,−3.12%,238.067K,0.78,371.23M USD,—,−11.21 USD,−8.04%,0.00%,Finance,Buy
4308,TREX,"Trex Company, Inc.",77.37 USD,+1.27%,684.66K,0.92,8.402B USD,43.52,1.78 USD,+1.46%,0.00%,Non-Energy Minerals,Buy
4309,TRGP,"Targa Resources, Inc.",85.79 USD,−0.53%,1.477M,1.37,19.129B USD,22.36,3.84 USD,+271.20%,2.16%,Utilities,Strong buy
4310,TRIN,Trinity Capital Inc.,14.98 USD,−0.07%,444.165K,0.85,653.515M USD,10.22,1.47 USD,+35.60%,12.95%,Finance,Buy
4311,TRIP,"TripAdvisor, Inc.",20.98 USD,−0.76%,1.818M,0.64,2.895B USD,—,−0.18 USD,−162.14%,0.00%,Consumer Services,Neutral
4312,TRIS,Tristar Acquisition I Corp.,10.82 USD,+0.09%,135,0.00,177.002M USD,35.16,0.31 USD,−41.05%,0.00%,Finance,—
4313,TRMB,Trimble Inc.,50.77 USD,−0.49%,1.125M,1.23,12.63B USD,37.84,1.34 USD,−29.57%,0.00%,Technology Services,Buy
4314,TRMK,Trustmark Corporation,27.38 USD,+0.04%,300.741K,1.24,1.672B USD,17.62,1.55 USD,—,3.36%,Finance,Neutral
4315,T,TRML,26.26 USD,−1.20%,210.841K,1.69,534.043M USD,—,−17.93 USD,−14.80%,57.57%,Health Technology,Strong buy
4316,TRN,"Trinity Industries, Inc.",26.23 USD,+1.08%,480.207K,0.89,2.147B USD,29.33,0.89 USD,+103.60%,3.96%,Producer Manufacturing,Buy
4317,TRNR,Interactive Strength Inc.,0.7500 USD,−10.71%,65.869K,5.18,10.634M USD,—,−4.36 USD,—,0.00%,Retail Trade,Strong buy
4318,TRNS,"Transcat, Inc.",99.41 USD,−3.07%,71.023K,1.80,877.425M USD,88.56,1.12 USD,−15.15%,0.00%,Electronic Technology,Strong buy
4319,TRON,Corner Growth Acquisition Corp. 2,11.44 USD,+0.18%,300,0.27,74.191M USD,—,−0.30 USD,−174.11%,0.00%,Finance,—
4320,TROO,"TROOPS, Inc.",2.69 USD,−3.93%,815,0.03,273.299M USD,—,—,—,0.00%,Finance,—
4321,TROW,"T. Rowe Price Group, Inc.",106.17 USD,+0.10%,850.608K,0.79,23.726B USD,15.14,7.01 USD,−19.49%,4.60%,Finance,Sell
4322,TROX,Tronox Holdings plc,13.04 USD,+0.46%,1.186M,1.09,2.045B USD,—,−1.76 USD,−146.72%,3.83%,Process Industries,Buy
4323,TRS,TriMas Corporation,24.96 USD,+0.20%,206.388K,0.65,1.034B USD,20.38,1.22 USD,−13.07%,0.64%,Producer Manufacturing,Neutral
4324,TRST,TrustCo Bank Corp NY,30.24 USD,−0.36%,67.548K,0.92,575.299M USD,8.26,3.66 USD,—,4.76%,Finance,Strong sell
4325,TRT,Trio-Tech International,5.09 USD,+1.82%,2.122K,0.22,20.859M USD,23.92,0.21 USD,−62.30%,0.00%,Producer Manufacturing,—
4326,TRTL,TortoiseEcofin Acquisition Corp. III,10.66 USD,+0.28%,872,0.02,275.984M USD,37.61,0.28 USD,−24.12%,0.00%,Finance,—
4327,TRU,TransUnion,64.99 USD,+2.33%,1.971M,1.50,12.589B USD,—,−1.32 USD,−198.96%,0.65%,Commercial Services,Buy
4328,TRUE,"TrueCar, Inc.",3.19 USD,−0.31%,164.952K,0.87,289.589M USD,—,−0.74 USD,+41.37%,0.00%,Technology Services,Buy
4329,TRUP,"Trupanion, Inc.",28.14 USD,−2.63%,488.462K,0.76,1.169B USD,—,−1.26 USD,−20.61%,0.00%,Finance,Neutral
4330,TRV,"The Travelers Companies, Inc.",193.07 USD,+0.28%,1.581M,1.19,44.097B USD,20.89,9.24 USD,−32.50%,2.04%,Finance,Neutral
4331,TRVI,"Trevi Therapeutics, Inc.",1.32 USD,−4.35%,166.397K,0.57,84.292M USD,—,−0.27 USD,+65.80%,0.00%,Health Technology,Strong buy
4332,TRVN,"Trevena, Inc.",0.7150 USD,−1.38%,86.673K,0.81,10.85M USD,—,−2.80 USD,+69.16%,0.00%,Health Technology,Strong buy
4333,TRX,TRX Gold Corporation,0.3670 USD,−0.81%,195.008K,0.55,101.888M USD,44.69,0.01 USD,—,0.00%,Non-Energy Minerals,Strong buy
4334,TSAT,Telesat Corporation,9.90 USD,+0.41%,11.418K,0.22,134.335M USD,1.08,9.14 USD,—,0.00%,Communications,—
4335,TSBK,"Timberland Bancorp, Inc.",30.05 USD,0.00%,31.429K,1.19,243.724M USD,9.14,3.29 USD,—,3.06%,Finance,—
4336,TSBX,Turnstone Biologics Corp.,2.37 USD,−9.89%,80.993K,1.09,54.731M USD,—,—,—,0.00%,Health Technology,Strong buy
4337,TSCO,Tractor Supply Company,218.91 USD,+1.80%,1.429M,1.25,23.667B USD,21.36,10.25 USD,+11.30%,1.88%,Retail Trade,Buy
4338,TSE,Trinseo PLC,7.46 USD,−6.16%,354.536K,1.00,262.557M USD,—,−22.84 USD,−2035.76%,6.43%,Process Industries,Neutral
4339,TSEM,Tower Semiconductor Ltd.,29.47 USD,−0.87%,368.508K,0.60,3.245B USD,5.98,4.93 USD,+133.87%,0.00%,Electronic Technology,Buy
4340,TSHA,"Taysha Gene Therapies, Inc.",1.78 USD,+1.14%,4.595M,3.19,332.789M USD,—,−2.58 USD,+37.37%,0.00%,Health Technology,Strong buy
4341,TSLA,"Tesla, Inc.",237.49 USD,−0.18%,92.487M,0.87,754.962B USD,76.47,3.11 USD,−4.05%,0.00%,Consumer Durables,Neutral
4342,TSLX,"Sixth Street Specialty Lending, Inc.",21.72 USD,−0.37%,340.289K,0.91,1.902B USD,8.38,2.59 USD,+94.39%,8.47%,Finance,Buy
4343,TSN,"Tyson Foods, Inc.",54.92 USD,+1.40%,3.628M,1.59,15.726B USD,—,−1.87 USD,−120.62%,3.51%,Consumer Non-Durables,Neutral
4344,TSP,TuSimple Holdings Inc.,0.7500 USD,+1.23%,1.374M,1.14,172.418M USD,—,−1.58 USD,+21.33%,0.00%,Consumer Durables,Strong sell
4345,TSQ,"Townsquare Media, Inc.",10.24 USD,+0.39%,34.194K,0.70,168.523M USD,—,−2.40 USD,−535.33%,7.32%,Consumer Services,Strong buy
4346,TSRI,"TSR, Inc.",9.29 USD,+2.61%,2.876K,0.76,19.907M USD,11.60,0.80 USD,+71.79%,0.00%,Commercial Services,—
4347,TSVT,"2seventy bio, Inc.",3.79 USD,+3.84%,2.134M,1.39,191.867M USD,—,−3.91 USD,+59.17%,0.00%,Health Technology,Buy
4348,TT,Trane Technologies plc,240.56 USD,+0.36%,963.677K,1.15,54.741B USD,28.38,8.48 USD,+22.50%,1.25%,Producer Manufacturing,Neutral
4349,TTC,Toro Company (The),91.36 USD,+0.01%,617.842K,0.62,9.49B USD,29.23,3.13 USD,−25.56%,1.51%,Producer Manufacturing,Neutral
4350,TTD,"The Trade Desk, Inc.",67.64 USD,−1.11%,4.537M,1.16,33.164B USD,221.55,0.31 USD,—,0.00%,Technology Services,Buy
4351,TTEC,"TTEC Holdings, Inc.",19.65 USD,−0.86%,159.71K,1.11,931.889M USD,22.87,0.86 USD,−62.88%,5.29%,Technology Services,Buy
4352,TTEK,"Tetra Tech, Inc.",161.58 USD,−1.20%,259.322K,1.22,8.604B USD,31.68,5.10 USD,+4.47%,0.63%,Industrial Services,Buy
4353,TTGT,"TechTarget, Inc.",33.95 USD,−0.18%,225.783K,1.57,963.644M USD,77.80,0.44 USD,−11.73%,0.00%,Technology Services,Neutral
4354,TTI,"Tetra Technologies, Inc.",4.41 USD,0.00%,1.71M,1.58,573.649M USD,20.72,0.21 USD,+236.18%,0.00%,Process Industries,Strong buy
4355,TTMI,"TTM Technologies, Inc.",14.72 USD,−1.21%,418.045K,0.94,1.505B USD,—,−0.29 USD,−131.29%,0.00%,Electronic Technology,Buy
4356,TTNP,"Titan Pharmaceuticals, Inc.",0.4247 USD,+1.12%,201.301K,2.30,6.399M USD,—,−0.41 USD,+51.64%,0.00%,Health Technology,—
4357,TTOO,"T2 Biosystems, Inc.",5.80 USD,+5.36%,539.472K,0.68,23.492M USD,—,−283.67 USD,+82.87%,0.00%,Health Technology,Neutral
4358,TTSH,"Tile Shop Holdings, Inc.",6.84 USD,−0.15%,53.086K,0.59,304.591M USD,27.38,0.25 USD,−20.47%,0.00%,Retail Trade,Strong buy
4359,TTWO,"Take-Two Interactive Software, Inc.",158.21 USD,−0.41%,1.039M,0.93,26.906B USD,—,−8.95 USD,−7775.26%,0.00%,Technology Services,Strong buy
4360,TUP,Tupperware Brands Corporation,1.97 USD,+2.60%,1.141M,0.36,91.151M USD,—,—,—,0.00%,Producer Manufacturing,—
4361,TUSK,"Mammoth Energy Services, Inc.",4.39 USD,0.00%,171.161K,1.99,210.464M USD,27.94,0.16 USD,—,0.00%,Industrial Services,Strong buy
4362,TVTX,"Travere Therapeutics, Inc.",8.64 USD,−4.95%,754.169K,0.62,649.26M USD,—,−4.40 USD,−5.31%,0.00%,Health Technology,Buy
4363,TW,Tradeweb Markets Inc.,93.00 USD,−2.21%,1.682M,1.93,21.831B USD,54.12,1.72 USD,+32.60%,0.39%,Finance,Buy
4364,TWI,"Titan International, Inc. (DE)",14.56 USD,−0.21%,339.144K,1.34,901.115M USD,7.48,1.95 USD,−23.82%,0.00%,Producer Manufacturing,Neutral
4365,TWIN,"Twin Disc, Incorporated",15.85 USD,−1.25%,48.259K,2.01,221.28M USD,19.49,0.81 USD,+167.47%,0.25%,Producer Manufacturing,—
4366,TWKS,"Thoughtworks Holding, Inc.",4.47 USD,−0.89%,890.738K,1.43,1.423B USD,—,−0.10 USD,+80.83%,0.00%,Commercial Services,Buy
4367,TWLO,Twilio Inc.,69.03 USD,+0.79%,1.771M,0.89,12.497B USD,—,−4.76 USD,+34.34%,0.00%,Technology Services,Buy
4368,TWLV,Twelve Seas Investment Company II,11.01 USD,+2.89%,12.703K,2.35,143.103M USD,107.62,0.10 USD,−39.68%,0.00%,Finance,—
4369,TWOA,two,10.62 USD,−0.09%,7.703K,0.08,110.017M USD,87.12,0.12 USD,—,0.00%,Finance,—
4370,TWOU,"2U, Inc.",1.07 USD,−0.93%,1.425M,1.31,87.814M USD,—,−3.57 USD,+27.45%,0.00%,Technology Services,Neutral
4371,TWST,Twist Bioscience Corporation,33.98 USD,+1.25%,720.058K,0.58,1.96B USD,—,−3.60 USD,+10.78%,0.00%,Health Technology,Buy
4372,TXG,"10x Genomics, Inc.",51.64 USD,+1.06%,1.091M,1.23,6.104B USD,—,−1.91 USD,−29.72%,0.00%,Health Technology,Buy
4373,TXMD,"TherapeuticsMD, Inc.",2.28 USD,0.00%,18.326K,0.71,24.112M USD,—,—,—,0.00%,Health Technology,—
4374,TXN,Texas Instruments Incorporated,165.10 USD,+0.39%,3.087M,0.72,149.944B USD,21.41,7.71 USD,−19.23%,3.04%,Electronic Technology,Neutral
4375,TXO,"TXO Partners, L.P.",18.85 USD,−1.77%,36.122K,0.64,579.638M USD,8.59,2.19 USD,+57.42%,7.96%,Energy Minerals,Strong buy
4376,TXRH,"Texas Roadhouse, Inc.",118.30 USD,+0.30%,1.005M,1.11,7.9B USD,27.20,4.35 USD,+13.25%,1.86%,Consumer Services,Buy
4377,TXT,Textron Inc.,78.60 USD,−0.06%,1.501M,1.51,15.406B USD,16.94,4.64 USD,+20.06%,0.10%,Electronic Technology,Buy
4378,TYGO,"Tigo Energy, Inc.",1.76 USD,−2.22%,164.782K,1.77,103.375M USD,—,−0.92 USD,−2333.69%,0.00%,Electronic Technology,Buy
4379,TYL,"Tyler Technologies, Inc.",400.82 USD,−0.14%,243.024K,1.43,16.884B USD,108.17,3.71 USD,−16.34%,0.00%,Technology Services,Buy
